failure_id,robot_id,failure_type,failure_time,root_cause,is_simulated
FAIL-0001,ROB-0018,bearing_failure,2024-04-06,electrical surge,0
FAIL-0002,ROB-0043,motor_failure,2023-09-10,lubrication breakdown,0
FAIL-0003,ROB-0032,overheating,2024-04-15,overload operation,0
FAIL-0004,ROB-0014,joint_wear,2023-06-06,thermal cycling fatigue,0
FAIL-0005,ROB-0035,encoder_drift,2023-08-21,electrical surge,0
FAIL-0006,ROB-0009,bearing_failure,2023-07-04,thermal cycling fatigue,0
FAIL-0007,ROB-0037,bearing_failure,2023-11-24,thermal cycling fatigue,0
FAIL-0008,ROB-0044,bearing_failure,2023-09-24,overload operation,0
FAIL-0009,ROB-0031,motor_failure,2023-07-24,contamination,0
FAIL-0010,ROB-0016,motor_failure,2023-08-02,overload operation,0
FAIL-0011,ROB-0042,joint_wear,2024-01-15,electrical surge,0
FAIL-0012,ROB-0027,bearing_failure,2024-01-30,thermal cycling fatigue,0
FAIL-0013,ROB-0013,motor_failure,2024-01-23,thermal cycling fatigue,0
FAIL-0014,ROB-0007,motor_failure,2023-11-21,electrical surge,0
FAIL-0015,ROB-0049,bearing_failure,2023-09-01,mechanical misalignment,0
FAIL-0016,ROB-0028,encoder_drift,2023-11-15,contamination,0
FAIL-0017,ROB-0023,joint_wear,2024-05-21,thermal cycling fatigue,0
SIM-FAIL-0018,ROB-0001,joint_wear,2024-07-11,thermal cycling fatigue,1
SIM-FAIL-0019,ROB-0002,motor_failure,2024-07-08,lubrication breakdown,1
SIM-FAIL-0020,ROB-0003,encoder_drift,2024-07-07,thermal cycling fatigue,1
SIM-FAIL-0021,ROB-0004,joint_wear,2024-07-03,lubrication breakdown,1
SIM-FAIL-0022,ROB-0005,joint_wear,2024-07-12,lubrication breakdown,1
SIM-FAIL-0023,ROB-0006,motor_failure,2024-07-04,contamination,1
SIM-FAIL-0024,ROB-0008,bearing_failure,2024-07-12,mechanical misalignment,1
SIM-FAIL-0025,ROB-0010,bearing_failure,2024-07-07,lubrication breakdown,1
SIM-FAIL-0026,ROB-0011,encoder_drift,2024-07-14,contamination,1
SIM-FAIL-0027,ROB-0012,motor_failure,2024-07-06,mechanical misalignment,1
SIM-FAIL-0028,ROB-0015,bearing_failure,2024-07-06,mechanical misalignment,1
SIM-FAIL-0029,ROB-0017,encoder_drift,2024-07-08,mechanical misalignment,1
SIM-FAIL-0030,ROB-0019,overheating,2024-07-05,contamination,1
SIM-FAIL-0031,ROB-0020,bearing_failure,2024-07-04,mechanical misalignment,1
SIM-FAIL-0032,ROB-0021,overheating,2024-07-02,thermal cycling fatigue,1
SIM-FAIL-0033,ROB-0022,bearing_failure,2024-07-01,mechanical misalignment,1
SIM-FAIL-0034,ROB-0024,encoder_drift,2024-07-10,thermal cycling fatigue,1
SIM-FAIL-0035,ROB-0025,motor_failure,2024-07-07,mechanical misalignment,1
SIM-FAIL-0036,ROB-0026,joint_wear,2024-07-10,lubrication breakdown,1
SIM-FAIL-0037,ROB-0029,motor_failure,2024-07-14,electrical surge,1
SIM-FAIL-0038,ROB-0030,encoder_drift,2024-07-13,contamination,1
SIM-FAIL-0039,ROB-0033,overheating,2024-07-03,thermal cycling fatigue,1
SIM-FAIL-0040,ROB-0034,motor_failure,2024-07-05,electrical surge,1
SIM-FAIL-0041,ROB-0036,motor_failure,2024-07-05,contamination,1
SIM-FAIL-0042,ROB-0038,encoder_drift,2024-07-04,mechanical misalignment,1
SIM-FAIL-0043,ROB-0039,encoder_drift,2024-07-10,mechanical misalignment,1
SIM-FAIL-0044,ROB-0040,encoder_drift,2024-07-14,thermal cycling fatigue,1
SIM-FAIL-0045,ROB-0041,overheating,2024-07-05,thermal cycling fatigue,1
SIM-FAIL-0046,ROB-0045,joint_wear,2024-07-10,overload operation,1
SIM-FAIL-0047,ROB-0046,encoder_drift,2024-07-01,electrical surge,1
SIM-FAIL-0048,ROB-0047,joint_wear,2024-07-08,lubrication breakdown,1
SIM-FAIL-0049,ROB-0048,overheating,2024-07-11,mechanical misalignment,1
SIM-FAIL-0050,ROB-0050,motor_failure,2024-07-12,lubrication breakdown,1
